"Tipo de contribuyente","Tipo de identificación","Identificación","Razón social","Nombre comercial","País","Representante legal","Aniversario","Web","Correo electrónico"
"ESPECIAL","RUC","0990022453001","COMPAÑIA DE SEGUROS ECUATORIANO-SUIZA S.A.","COMPAÑIA DE SEGUROS ECUATORIANO-SUIZA S.A.","ECUADOR","","2021-01-01","www.ecuasuiza.ec","servicio.cliente@ecuasuiza.ec"
"ESPECIAL","RUC","1791927559001","BMI IGUALAS MEDICAS DEL ECUADOR SA","BMI IGUALAS MEDICAS DEL ECUADOR S.A.","ECUADOR","","2025-01-01","https://www.bmicos.com/ecuador/","comunicacionesbmiec@bmicos.com"
"ESPECIAL","RUC","1791257049001","SALUD S.A.","SALUD S.A. SISTEMA DE MEDICINA PREPAGADA DEL ECUADOR","ECUADOR","","2023-01-01","www.saludsa.com.ec","mquinapallo@saludsa.com.ec"
"ESPECIAL","RUC","1790516008001","CHUBB SEGUROS ECUADOR S.A.","CHUBB SEGUROS ECUADOR S.A.","ECUADOR","","2024-01-01","www.chubb.com","wilmont.pamela@chubb.com"
"ESPECIAL","RUC","1790093808001","LIBERTY SEGUROS SA","HDI-SEGUROS S.A.","ECUADOR","","1973-09-10","www.libertyseguros.ec","atencioncliente@liberty.ec"
"ESPECIAL","RUC","1790475247001","AIG METROPOLITANA","AIG METROPOLITANA CIA. DE SEGUROS Y REASEGUROS S.A.","ECUADOR","","1980-10-02","https://www.aig.com.ec/","nereida.Troya@aig.com"
"ESPECIAL","RUC","0990794596001","SEGUROS CONFIANZA SA","CONFIANZA COMPAÑIA DE SEGUROS Y REASEGUROS S.A.","ECUADOR","","1986-01-15","https://www.confianza.com.ec/","confianza@confianza.com.ec"
"ESPECIAL","RUC","1790007502001","SEGUROS EQUINOCCIAL SA","SEGUROS EQUINOCCIAL","ECUADOR","","1973-03-01","https://segurosequinoccial.com/","info@segurosequinoccial.com"
"ESPECIAL","RUC","0991311637001","LATINA","LATINA SEGUROS Y REASEGUROS","ECUADOR","","2020-01-01","N/A","cinthia.chele@latinaseguros.com.ec"
"ESPECIAL","RUC","1792107423001","SWEADEN COMPAÑIA DE SEGUROS S.A.","SWEADEN","ECUADOR","","2007-10-01","WWW.sweaden.COM","a@seguros.com"
"ESPECIAL","RUC","0991295542001","HISPANA DE SEGUROS Y REASEGUROS S.A.","HISPANA DE SEGUROS","ECUADOR","","1994-08-18","pagina","a@seguros.com"
"ESPECIAL","RUC","1090083631001","INTEROCEANICA COMPAÑIA ANONIMA DE SEGUROS","INTEROCEANICA C.A.","ECUADOR","","1987-09-21","pagina","a@seguros.com"
"ESPECIAL","RUC","1790551350001","SEGUROS ALIANZA SA","SEGUROS ALIANZA S A","ECUADOR","","1982-07-08","WWW.ALIANZA.COM","a@alianza.com"
"ESPECIAL","RUC","1791240014001","ZURICH SEGUROS ECUADOR S.A.","ZURICH SEGUROS ECUADOR S.A","ECUADOR","CARLOS ZAMBRANO  ","1001-01-01","http://www.qbe.com.ec/","cristian.paul.rodriguez.salvador@zurich.com"
"ESPECIAL","RUC","0990697000001","MAPFRE ECUADOR COMPAÑIA DE SEGUROS S.A.","MAPFRE ATLAS COMPAÑIA DE SEGUROS S.A.","ECUADOR","RAFAEL SUAREZ LOPEZ ","2023-10-10","http://www.mapfreatlas.com.ec/","info@mapfreatlas.com.ec"
"ESPECIAL","RUC","0990064733001","GENERALI ECUADOR COMPAÑIA DE SEGUROS S.A.","GENERALI ECUADOR","ECUADOR","","1941-07-17","www.generali.com.ec","daniel.valdez@generali.com.ec"
"ESPECIAL","RUC","0190123626001","ASEGURADORA DEL SUR C.A","ASEGURADORA DEL SUR C.A.","ECUADOR","RODRIGO CEVALLOS GUEVARA ","0001-01-01","www.aseguradoradelsur.com.ec","aseguradoradelsur@asegsur.ec"
